Data;Descrição;Fornecedor;Valor
30/09/2022;Pedido Nº 0908 Gerdau 08/2022 - Compra Material P/IASD Graças;GERDAU;128569,48
30/09/2022;Compras de material P/ IASD Graças - Supermix Concreto ;SUPERMIX CONCRETO;70961
31/10/2022;4493 - Docº 296453 Armazém Tres T - Ferro Vergalhão;ARMAZÉM TRÊS T;2112
31/10/2022;Adiantamento Compra Material P/Construção Segnorte;SEGNORTE;2735
31/10/2022;Compra Material P/Construção IASD Graças - Armazém Tres T;ARMAZÉM TRÊS T;7262
14/09/2022;Adto - Madeireira Cunha LTDA - EPP-14/09/2022 - MI 86-10.1 - 09/2022;MADEIREIRA CUNHA;18210
30/06/2022;Adto - Madcon Distribuidora - 30/06/2022 - MI 86-20.1 - 09/2022;MADCON DISTRIBUIDORA;3460
30/06/2022;Adto - Madeireira Cunha LTDA - EPP - 30/06/2022 - MI 86-20.2 - 09/2022;MADEIREIRA CUNHA;11168,4
21/09/2022;Adto - Madcon Distribuidora - 21/09/2022 - MI 86-4.1 - 09/2022;MADCON DISTRIBUIDORA;2755
01/11/2022;Adto DEMAC Distribuidora - 01/11/2022 - MI 173-4.1 - 11/2022;DEMAC DISTRIBUIDORA;25595
